Epoch [245/400], Train Loss: 63.4191, Val Loss: 189.9125
Epoch [246/400], Train Loss: 61.8562, Val Loss: 188.9637
Epoch [247/400], Train Loss: 60.4406, Val Loss: 185.0723
Epoch [248/400], Train Loss: 59.1172, Val Loss: 181.3325
Epoch [249/400], Train Loss: 57.6858, Val Loss: 177.7314
Epoch [250/400], Train Loss: 56.2536, Val Loss: 174.2428
Epoch [251/400], Train Loss: 54.9563, Val Loss: 170.8546
Epoch [252/400], Train Loss: 53.7503, Val Loss: 170.0584
Epoch [253/400], Train Loss: 52.6476, Val Loss: 166.7825
Epoch [254/400], Train Loss: 51.6452, Val Loss: 163.6384
Epoch [255/400], Train Loss: 50.5404, Val Loss: 160.6142
Epoch [256/400], Train Loss: 49.4289, Val Loss: 157.6851
Epoch [257/400], Train Loss: 48.4322, Val Loss: 154.8395
Epoch [258/400], Train Loss: 47.5116, Val Loss: 154.1726
Epoch [259/400], Train Loss: 46.6603, Val Loss: 151.4180
Epoch [260/400], Train Loss: 45.9119, Val Loss: 148.7783
Epoch [261/400], Train Loss: 45.0677, Val Loss: 146.2426
Epoch [262/400], Train Loss: 44.2124, Val Loss: 143.7867
Epoch [263/400], Train Loss: 43.4544, Val Loss: 141.4000
Epoch [264/400], Train Loss: 42.7594, Val Loss: 140.8421
Epoch [265/400], Train Loss: 42.1078, Val Loss: 138.5281
Epoch [266/400], Train Loss: 41.5577, Val Loss: 136.3147
Epoch [267/400], Train Loss: 40.9191, Val Loss: 134.1913
Epoch [268/400], Train Loss: 40.2663, Val Loss: 132.1347
Epoch [269/400], Train Loss: 39.6955, Val Loss: 130.1349
Epoch [270/400], Train Loss: 39.1769, Val Loss: 129.6689
Epoch [271/400], Train Loss: 38.6821, Val Loss: 127.7265
Epoch [272/400], Train Loss: 38.2848, Val Loss: 125.8721
Epoch [273/400], Train Loss: 37.8066, Val Loss: 124.0960
Epoch [274/400], Train Loss: 37.3123, Val Loss: 122.3759
Epoch [275/400], Train Loss: 36.8867, Val Loss: 120.7020
Epoch [276/400], Train Loss: 36.5040, Val Loss: 120.3133
Epoch [277/400], Train Loss: 36.1313, Val Loss: 118.6837
Epoch [278/400], Train Loss: 35.8500, Val Loss: 117.1315
Epoch [279/400], Train Loss: 35.4956, Val Loss: 115.6476
Epoch [280/400], Train Loss: 35.1238, Val Loss: 114.2107
Epoch [281/400], Train Loss: 34.8096, Val Loss: 112.8110
Epoch [282/400], Train Loss: 34.5305, Val Loss: 112.4870
Epoch [283/400], Train Loss: 34.2518, Val Loss: 111.1203
Epoch [284/400], Train Loss: 34.0571, Val Loss: 109.8224
Epoch [285/400], Train Loss: 33.7970, Val Loss: 108.5841
Epoch [286/400], Train Loss: 33.5193, Val Loss: 107.3850
Epoch [287/400], Train Loss: 33.2895, Val Loss: 106.2159
Epoch [288/400], Train Loss: 33.0884, Val Loss: 105.9463
Epoch [289/400], Train Loss: 32.8812, Val Loss: 104.8006
Epoch [290/400], Train Loss: 32.7501, Val Loss: 103.7160
Epoch [291/400], Train Loss: 32.5612, Val Loss: 102.6844
Epoch [292/400], Train Loss: 32.3549, Val Loss: 101.6851
Epoch [293/400], Train Loss: 32.1882, Val Loss: 100.7097
Epoch [294/400], Train Loss: 32.0450, Val Loss: 100.4857
Epoch [295/400], Train Loss: 31.8917, Val Loss: 99.5255
Epoch [296/400], Train Loss: 31.8065, Val Loss: 98.6201
Epoch [297/400], Train Loss: 31.6706, Val Loss: 97.7620
Epoch [298/400], Train Loss: 31.5180, Val Loss: 96.9308
Epoch [299/400], Train Loss: 31.3980, Val Loss: 96.1178
Epoch [300/400], Train Loss: 31.2972, Val Loss: 95.9322
Epoch [301/400], Train Loss: 31.1842, Val Loss: 95.1277
Epoch [302/400], Train Loss: 31.1314, Val Loss: 94.3729
Epoch [303/400], Train Loss: 31.0346, Val Loss: 93.6603
Epoch [304/400], Train Loss: 30.9220, Val Loss: 92.9702
Epoch [305/400], Train Loss: 30.8361, Val Loss: 92.2937
Epoch [306/400], Train Loss: 30.7660, Val Loss: 92.1402
Epoch [307/400], Train Loss: 30.6828, Val Loss: 91.4663
Epoch [308/400], Train Loss: 30.6523, Val Loss: 90.8377
Epoch [309/400], Train Loss: 30.5841, Val Loss: 90.2476
Epoch [310/400], Train Loss: 30.5009, Val Loss: 89.6756
Epoch [311/400], Train Loss: 30.4398, Val Loss: 89.1138
Epoch [312/400], Train Loss: 30.3914, Val Loss: 88.9872
Epoch [313/400], Train Loss: 30.3300, Val Loss: 88.4228
Epoch [314/400], Train Loss: 30.3144, Val Loss: 87.8999
Epoch [315/400], Train Loss: 30.2668, Val Loss: 87.4123
Epoch [316/400], Train Loss: 30.2053, Val Loss: 86.9396
Epoch [317/400], Train Loss: 30.1618, Val Loss: 86.4737
Epoch [318/400], Train Loss: 30.1287, Val Loss: 86.3697
Epoch [319/400], Train Loss: 30.0832, Val Loss: 85.8969
Epoch [320/400], Train Loss: 30.0771, Val Loss: 85.4628
Epoch [321/400], Train Loss: 30.0443, Val Loss: 85.0610
Epoch [322/400], Train Loss: 29.9986, Val Loss: 84.6715
Epoch [323/400], Train Loss: 29.9674, Val Loss: 84.2858
Epoch [324/400], Train Loss: 29.9449, Val Loss: 84.2006
Epoch [325/400], Train Loss: 29.9108, Val Loss: 83.8043
Epoch [326/400], Train Loss: 29.9106, Val Loss: 83.4442
Epoch [327/400], Train Loss: 29.8882, Val Loss: 83.1143
Epoch [328/400], Train Loss: 29.8540, Val Loss: 82.7942
Epoch [329/400], Train Loss: 29.8313, Val Loss: 82.4757
Epoch [330/400], Train Loss: 29.8160, Val Loss: 82.4063
Epoch [331/400], Train Loss: 29.7901, Val Loss: 82.0736
Epoch [332/400], Train Loss: 29.7932, Val Loss: 81.7752
Epoch [333/400], Train Loss: 29.7781, Val Loss: 81.5053
Epoch [334/400], Train Loss: 29.7521, Val Loss: 81.2431
Epoch [335/400], Train Loss: 29.7354, Val Loss: 80.9805
Epoch [336/400], Train Loss: 29.7247, Val Loss: 80.9240
Epoch [337/400], Train Loss: 29.7048, Val Loss: 80.6442
Epoch [338/400], Train Loss: 29.7095, Val Loss: 80.3971
Epoch [339/400], Train Loss: 29.6996, Val Loss: 80.1769
Epoch [340/400], Train Loss: 29.6795, Val Loss: 79.9630
Epoch [341/400], Train Loss: 29.6667, Val Loss: 79.7466
Epoch [342/400], Train Loss: 29.6591, Val Loss: 79.7010
